Model,Accuracy,Precision,Recall,F1 Score
VGG16,0.7141292442497261,0.6284456266624942,0.7141292442497261,0.6208065311467487
CustomCNN,0.6998904709748083,0.4898466713613389,0.6998904709748083,0.576327333702194
ResNet15V2,0.8357064622124863,0.8279812712609957,0.8357064622124863,0.8242213702246978
EfficientNetB5,0.6998904709748083,0.48984667136133897,0.6998904709748083,0.576327333702194
